EXID,Rank,Similar_EXID,Similarity
59,2,75,0.1657
59,3,2,0.1544
59,4,86,0.1539
59,5,17,0.1468
60,1,95,0.2751
60,2,2,0.2258
60,3,86,0.2026
60,4,10,0.1914
60,5,52,0.164
61,1,36,0.2315
61,2,58,0.1864
61,3,50,0.1781
61,4,41,0.1471
61,5,63,0.1463
62,1,86,0.2665
62,2,70,0.2153
62,3,41,0.2111
62,4,97,0.205
62,5,28,0.1883
63,1,43,0.2169
63,2,92,0.1898
63,3,61,0.1463
63,4,5,0.1458
63,5,38,0.1406
64,1,29,0.2366
64,2,80,0.1475
64,3,97,0.1255
64,4,56,0.1232
64,5,22,0.1198
65,1,91,0.2926
65,2,66,0.2477
65,3,84,0.2348
65,4,50,0.2078
65,5,56,0.1849
66,1,45,0.301
66,2,91,0.2493
66,3,65,0.2477
66,4,69,0.2272
66,5,84,0.215
67,1,46,0.4615
67,2,69,0.2539
67,3,96,0.2517
67,4,6,0.2297
67,5,19,0.2285
68,1,35,0.2136
68,2,48,0.1969
68,3,55,0.1748
68,4,32,0.1682
68,5,18,0.1616
69,1,46,0.367
69,2,67,0.2539
69,3,73,0.2358
69,4,66,0.2272
69,5,96,0.2155
70,1,86,0.2224
70,2,62,0.2153
70,3,97,0.1872
70,4,83,0.1513
70,5,10,0.1495
71,1,75,0.4068
71,2,100,0.2114
71,3,13,0.2103
71,4,45,0.1721
71,5,51,0.1481
72,1,52,0.1965
72,2,78,0.1676
72,3,85,0.1582
72,4,81,0.1456
72,5,38,0.1449
73,1,46,0.2805
73,2,20,0.2595
73,3,45,0.2508
73,4,69,0.2358
73,5,96,0.215
74,1,21,0.2808
74,2,20,0.1986
74,3,16,0.1892
74,4,22,0.1812
74,5,92,0.1791
75,1,71,0.4068
75,2,26,0.3861
75,3,13,0.2853
75,4,51,0.2543
75,5,96,0.2086
76,1,38,0.2836
76,2,67,0.1898
76,3,13,0.188
76,4,52,0.1838
76,5,14,0.1823
77,1,47,0.3341
77,2,5,0.272
77,3,55,0.2195
77,4,86,0.2178
77,5,18,0.1924
78,1,80,0.2533
78,2,13,0.1894
78,3,31,0.189
78,4,39,0.1884
78,5,72,0.1676
79,1,53,0.2186
79,2,91,0.2027
79,3,86,0.1961
79,4,6,0.1955
79,5,77,0.1665
80,1,78,0.2533
80,2,97,0.1716
80,3,49,0.1636
80,4,75,0.1626
80,5,3,0.1527
81,1,86,0.1766
81,2,89,0.166
81,3,10,0.1542
81,4,56,0.1505
81,5,50,0.1479
82,1,51,0.1867
82,2,83,0.1772
82,3,58,0.1743
82,4,13,0.1676
82,5,27,0.1586
83,1,97,0.1985
83,2,32,0.1809
83,3,82,0.1772
83,4,35,0.1771
83,5,4,0.1707
84,1,65,0.2348
84,2,66,0.215
84,3,53,0.2126
84,4,91,0.2057
84,5,73,0.1792
85,1,32,0.1861
85,2,3,0.1667
85,3,41,0.1633
85,4,45,0.1583
85,5,72,0.1582
86,1,41,0.2938
86,2,62,0.2665
86,3,52,0.2484
86,4,70,0.2224
86,5,77,0.2178
87,1,4,0.2368
87,2,94,0.2109
87,3,21,0.1692
87,4,31,0.156
87,5,60,0.1504
88,1,12,0.2777
88,2,91,0.2134
88,3,67,0.1757
88,4,79,0.1646
88,5,32,0.1444
89,1,17,0.2216
89,2,54,0.2034
89,3,22,0.1852
89,4,81,0.166
89,5,3,0.1554
90,1,43,0.193
90,2,91,0.1816
90,3,31,0.1758
90,4,96,0.17
90,5,3,0.165
91,1,65,0.2926
91,2,66,0.2493
91,3,67,0.2228
91,4,88,0.2134
91,5,84,0.2057
92,1,22,0.201
92,2,63,0.1898
92,3,2,0.1801
92,4,74,0.1791
92,5,52,0.1781
93,1,40,0.2081
93,2,11,0.1394
93,3,8,0.1392
93,4,80,0.1383
93,5,36,0.1346
94,1,87,0.2109
94,2,3,0.1586
94,3,74,0.1415
94,4,89,0.1395
94,5,90,0.1243
95,1,60,0.2751
95,2,54,0.2129
95,3,99,0.2102
95,4,86,0.198
95,5,36,0.1788
96,1,67,0.2517
96,2,46,0.245
96,3,44,0.2292
96,4,69,0.2155
96,5,73,0.215
97,1,40,0.205
97,2,62,0.205
97,3,11,0.2045
97,4,83,0.1985
97,5,70,0.1872
98,1,32,0.1884
98,2,85,0.1546
98,3,79,0.1485
98,4,24,0.1369
98,5,90,0.1361
99,1,19,0.2549
99,2,95,0.2102
99,3,67,0.1756
99,4,65,0.1607
99,5,54,0.1502
100,1,6,0.319
100,2,28,0.2387
100,3,43,0.2353
100,4,71,0.2114
100,5,75,0.202
